dates,RPI,UNRATE,PAYEMS,WPSFD49207,PCEPI,GS5,GS10,BAAFFM
724824,2.7075404845867,7.5,3.93093742896795,2.3099140915015,4.29881891889661,13.27,13.36,3.92
724855,7.81473212593511,7.5,3.07236985676909,-2.3099140915015,3.67912734349627,12.68,12.72,2.99
724886,9.12612791861847,7.3,3.93327242086272,0,1.62639430100704,12.53,12.52,3.05
724916,-3.54279770886166,7.4,3.58166079909878,-2.31436908768679,2.82931485428879,12.06,12.16,3.95
724947,6.26355572744686,7.2,4.42146306036904,4.62428317918828,1.66663478498403,11.33,11.57,4.05
724977,8.04424697919757,7.3,1.56177627217744,0,3.37247575198418,11.07,11.5,5.02
725008,-1.36385656694671,7.3,3.30425865599722,0,5.98241033486531,10.93,11.38,4.91
725039,0.809845540927512,7.2,1.63007154034887,1.15329177546108,5.5872632184558,11.13,11.51,4.73
725067,4.9447315668715,7.2,4.2080262418331,0,4.67419054012073,11.52,11.86,5.11
725098,-2.40003574670027,7.3,2.42624386346293,5.74989121187919,1.72825498889519,11.01,11.43,5.24
725128,2.42421916428555,7.2,3.3835885551099,3.4367565257142,2.85979216510199,10.34,10.85,5.18
725159,4.10284487481007,7.4,1.81135829762837,-3.4367565257142,3.26001030594014,9.6,10.16,4.87
725189,1.63139126380898,7.4,2.32487887099282,1.14667949480207,2.93547744373832,9.7,10.31,4.55
725220,-0.173011737710738,7.1,2.35717869213374,-2.29445576595069,3.96277754302261,9.81,10.33,4.6
725251,5.36441139370467,7.1,2.5116786870754,-8.06532080769315,2.02137463806569,9.81,10.37,4.56
725281,5.60778419988779,7.1,2.29878100439862,12.649853604556,1.99557208466032,9.69,10.24,4.37
725312,1.6856907999383,7,2.56259122380911,6.84412501664404,3.48987028469345,9.28,9.78,3.94
725342,7.12373207381987,7,2.02180183019536,5.6737694351348,4.036465768956,8.73,9.26,3.31
725373,-0.94784244777415,6.7,1.49588802239222,-5.6737694351348,5.50867249030595,8.68,9.19,3.3
