dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PCEPI,HOUST,SP500,EXUSUKx,GS5,GS10,BAAFFM
NaN,4,4,4,1,1,4,1,4,4,4,4,4,4,1,1,1
NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715511,0,0,0,80.1973,6,0,39.8,0,0,0,0,0,0,4.01,4.02,2.39
715542,0.39335065391333,1.03496784001135,1.93952211673167,81.4428,5.9,0.399369148046844,39.7,0.468384931242639,0.301659353942568,0.093274887837083,0.601686532423173,-1.54002500101882,0.0997186592123001,3.96,3.96,2.46
715570,1.03646143081369,1.97436955029133,3.36976266486585,82.4769,5.6,1.01619954602597,40,0.934586241823766,0.301659353942568,0.161621219989058,-2.2582589200133,0.966191091173641,0.220672071325751,3.99,3.99,2.05
715601,1.68627521942756,1.6167295903083,5.47769431876844,83.9922,5.2,1.59362156697716,40.2,1.39862419747401,0.301659353942568,0.360181722059508,-4.12747222122857,2.62612678561459,0.355682395251463,4.12,4.12,1.9
715631,2.26890283568082,2.81516111856126,6.97280707749707,84.9159,5.1,2.02217627402183,40.3,1.86051878310344,0.602411460338033,0.409760305127577,-10.0877853349398,4.12102686466625,0.28464705218272,4.35,4.31,2.06
715662,2.57970255653288,3.17974631641641,7.08692683321578,84.7686,5,2.26650872484424,40.2,1.86051878310344,0.301659353942568,0.69436112829834,-9.75456276735883,3.25462047453243,0.213561213042155,4.5,4.34,1.65
715692,2.52114857420906,2.84325337371132,4.66305067680918,82.9798,5.1,2.49537796927939,39.9,1.86051878310344,0,0.904198889673978,-6.8691166853497,7.14589639821452,0.185112722398316,4.58,4.4,1.61
715723,1.95162194327872,3.44254386205364,1.21643869647454,79.4676,5.2,1.62174911622174,40,1.86051878310344,-0.302572091653758,1.05205500335245,-14.7334294172609,6.57513775627808,0.106837616999883,4.57,4.43,1.59
